id,title,author,publisher,count,total_views,amazon_url
ea54aea20568,アファメーション「言葉」があなたの人生を決める,,,23,184707,https://www.amazon.co.jp/s?k=%E3%82%A2%E3%83%95%E3%82%A1%E3%83%A1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8C%E8%A8%80%E8%91%89%E3%80%8D%E3%81%8C%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E4%BA%BA%E7%94%9F%E3%82%92%E6%B1%BA%E3%82%81%E3%82%8B&i=stripbooks&tag=business-book-ranking02-22
3f18701cc44e,「いい会社」はどこにある？【コンプリート版】――電子書籍限定オールカラー,渡邉正裕 著,,21,4814247,https://www.amazon.co.jp/s?k=%E3%80%8C%E3%81%84%E3%81%84%E4%BC%9A%E7%A4%BE%E3%80%8D%E3%81%AF%E3%81%A9%E3%81%93%E3%81%AB%E3%81%82%E3%82%8B%EF%BC%9F%E3%80%90%E3%82%B3%E3%83%B3%E3%83%97%E3%83%AA%E3%83%BC%E3%83%88%E7%89%88%E3%80%91%E2%80%95%E2%80%95%E9%9B%BB%E5%AD%90%E6%9B%B8%E7%B1%8D%E9%99%90%E5%AE%9A%E3%82%AA%E3%83%BC%E3%83%AB%E3%82%AB%E3%83%A9%E3%83%BC&i=stripbooks&tag=business-book-ranking02-22
52f29fe27248,思考は現実化する（文庫本の方上),ナポレオン・ヒル,,19,667360,https://www.amazon.co.jp/s?k=%E6%80%9D%E8%80%83%E3%81%AF%E7%8F%BE%E5%AE%9F%E5%8C%96%E3%81%99%E3%82%8B%EF%BC%88%E6%96%87%E5%BA%AB%E6%9C%AC%E3%81%AE%E6%96%B9%E4%B8%8A%29&i=stripbooks&tag=business-book-ranking02-22
2cffb31ad248,影響力の武器[第三版]: なぜ、人は動かされるのか,ロバート・B・チャルディーニ,誠信書房,16,998759,https://www.amazon.co.jp/s?k=%E5%BD%B1%E9%9F%BF%E5%8A%9B%E3%81%AE%E6%AD%A6%E5%99%A8%5B%E7%AC%AC%E4%B8%89%E7%89%88%5D%3A%20%E3%81%AA%E3%81%9C%E3%80%81%E4%BA%BA%E3%81%AF%E5%8B%95%E3%81%8B%E3%81%95%E3%82%8C%E3%82%8B%E3%81%AE%E3%81%8B&i=stripbooks&tag=business-book-ranking02-22
99b842a6fe78,改訂版 金持ち父さん 貧乏父さん:アメリカの金持ちが教えてくれるお金の哲学,ロバート・キヨサキ (著) 白根美保子 (訳),筑摩書房,14,1765440,https://www.amazon.co.jp/s?k=%E6%94%B9%E8%A8%82%E7%89%88%20%E9%87%91%E6%8C%81%E3%81%A1%E7%88%B6%E3%81%95%E3%82%93%20%E8%B2%A7%E4%B9%8F%E7%88%B6%E3%81%95%E3%82%93%3A%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%81%AE%E9%87%91%E6%8C%81%E3%81%A1%E3%81%8C%E6%95%99%E3%81%88%E3%81%A6%E3%81%8F%E3%82%8C%E3%82%8B%E3%81%8A%E9%87%91%E3%81%AE%E5%93%B2%E5%AD%A6&i=stripbooks&tag=business-book-ranking02-22
16949098fcf6,ザ・シークレット,ロンダ・バーン,KADOKAWA,14,1879453,https://www.amazon.co.jp/s?k=%E3%82%B6%E3%83%BB%E3%82%B7%E3%83%BC%E3%82%AF%E3%83%AC%E3%83%83%E3%83%88&i=stripbooks&tag=business-book-ranking02-22
2a3f2235455a,新版　科学がつきとめた「運のいい人」,中野信子,サンマーク出版,10,2501826,https://www.amazon.co.jp/s?k=%E6%96%B0%E7%89%88%E3%80%80%E7%A7%91%E5%AD%A6%E3%81%8C%E3%81%A4%E3%81%8D%E3%81%A8%E3%82%81%E3%81%9F%E3%80%8C%E9%81%8B%E3%81%AE%E3%81%84%E3%81%84%E4%BA%BA%E3%80%8D&i=stripbooks&tag=business-book-ranking02-22
f3c6001b3a12,friday forward,,,10,58478,https://www.amazon.co.jp/s?k=friday%20forward&i=stripbooks&tag=business-book-ranking02-22
1712657cef25,新版　科学的な適職,鈴木祐,クロスメディア・パブリッシング,9,1012915,https://www.amazon.co.jp/s?k=%E6%96%B0%E7%89%88%E3%80%80%E7%A7%91%E5%AD%A6%E7%9A%84%E3%81%AA%E9%81%A9%E8%81%B7&i=stripbooks&tag=business-book-ranking02-22
745153d9cd00,オリジナルズ,,,8,92292,https://www.amazon.co.jp/s?k=%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E3%82%BA&i=stripbooks&tag=business-book-ranking02-22
1515fcabd981,シンプルで合理的な人生設計 単行本（ソフトカバー） – 2023/3/8,橘玲,(著)ダイヤモンド社,8,2523174,https://www.amazon.co.jp/s?k=%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%81%A7%E5%90%88%E7%90%86%E7%9A%84%E3%81%AA%E4%BA%BA%E7%94%9F%E8%A8%AD%E8%A8%88%20%E5%8D%98%E8%A1%8C%E6%9C%AC%EF%BC%88%E3%82%BD%E3%83%95%E3%83%88%E3%82%AB%E3%83%90%E3%83%BC%EF%BC%89%20%E2%80%93%202023/3/8&i=stripbooks&tag=business-book-ranking02-22
a87f54215334,時間最短化、成果最大化の法則　―１日１話インストールする＂できる人＂の思考アルゴリズム―,,,8,956506,https://www.amazon.co.jp/s?k=%E6%99%82%E9%96%93%E6%9C%80%E7%9F%AD%E5%8C%96%E3%80%81%E6%88%90%E6%9E%9C%E6%9C%80%E5%A4%A7%E5%8C%96%E3%81%AE%E6%B3%95%E5%89%87%E3%80%80%E2%80%95%EF%BC%91%E6%97%A5%EF%BC%91%E8%A9%B1%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%99%E3%82%8B%EF%BC%82%E3%81%A7%E3%81%8D%E3%82%8B%E4%BA%BA%EF%BC%82%E3%81%AE%E6%80%9D%E8%80%83%E3%82%A2%E3%83%AB%E3%82%B4%E3%83%AA%E3%82%BA%E3%83%A0%E2%80%95&i=stripbooks&tag=business-book-ranking02-22
c4be216d21ce,新版 お金持ちになれる黄金の羽根の拾い方 知的人生設計のすすめ,橘玲,幻冬舎,7,1257148,https://www.amazon.co.jp/s?k=%E6%96%B0%E7%89%88%20%E3%81%8A%E9%87%91%E6%8C%81%E3%81%A1%E3%81%AB%E3%81%AA%E3%82%8C%E3%82%8B%E9%BB%84%E9%87%91%E3%81%AE%E7%BE%BD%E6%A0%B9%E3%81%AE%E6%8B%BE%E3%81%84%E6%96%B9%20%E7%9F%A5%E7%9A%84%E4%BA%BA%E7%94%9F%E8%A8%AD%E8%A8%88%E3%81%AE%E3%81%99%E3%81%99%E3%82%81&i=stripbooks&tag=business-book-ranking02-22
b447787437b7,医者が教えるサウナの教科書――ビジネスエリートはなぜ脳と体をサウナでととのえるのか？,加藤容崇,ダイヤモンド社,7,2055889,https://www.amazon.co.jp/s?k=%E5%8C%BB%E8%80%85%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B%E3%82%B5%E3%82%A6%E3%83%8A%E3%81%AE%E6%95%99%E7%A7%91%E6%9B%B8%E2%80%95%E2%80%95%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%82%A8%E3%83%AA%E3%83%BC%E3%83%88%E3%81%AF%E3%81%AA%E3%81%9C%E8%84%B3%E3%81%A8%E4%BD%93%E3%82%92%E3%82%B5%E3%82%A6%E3%83%8A%E3%81%A7%E3%81%A8%E3%81%A8%E3%81%AE%E3%81%88%E3%82%8B%E3%81%AE%E3%81%8B%EF%BC%9F&i=stripbooks&tag=business-book-ranking02-22
3b04c243f0f0,人を動かす②,D・カーネギー,創元社,7,2182708,https://www.amazon.co.jp/s?k=%E4%BA%BA%E3%82%92%E5%8B%95%E3%81%8B%E3%81%99%E2%91%A1&i=stripbooks&tag=business-book-ranking02-22
e9def2a13624,金儲けのレシピ（事業家bot),事業家bot,実業之日本社,7,404632,https://www.amazon.co.jp/s?k=%E9%87%91%E5%84%B2%E3%81%91%E3%81%AE%E3%83%AC%E3%82%B7%E3%83%94%EF%BC%88%E4%BA%8B%E6%A5%AD%E5%AE%B6bot%29&i=stripbooks&tag=business-book-ranking02-22
265a405b4b08,一流の頭脳　BRAIN,アンダース・ハンセン (著) 御舩由美子(訳),サンマーク出版,7,1815667,https://www.amazon.co.jp/s?k=%E4%B8%80%E6%B5%81%E3%81%AE%E9%A0%AD%E8%84%B3%E3%80%80BRAIN&i=stripbooks&tag=business-book-ranking02-22
951fba945390,「働き方　完全無双」ひろゆき,ひろゆき,大和書房,7,279330,https://www.amazon.co.jp/s?k=%E3%80%8C%E5%83%8D%E3%81%8D%E6%96%B9%E3%80%80%E5%AE%8C%E5%85%A8%E7%84%A1%E5%8F%8C%E3%80%8D%E3%81%B2%E3%82%8D%E3%82%86%E3%81%8D&i=stripbooks&tag=business-book-ranking02-22
b5e1dc8ad061,『ジェームズ・クリアー式 複利で伸びる1つの習慣』,ジェームズ・クリアー,,6,1642327,https://www.amazon.co.jp/s?k=%E3%80%8E%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%BA%E3%83%BB%E3%82%AF%E3%83%AA%E3%82%A2%E3%83%BC%E5%BC%8F%20%E8%A4%87%E5%88%A9%E3%81%A7%E4%BC%B8%E3%81%B3%E3%82%8B1%E3%81%A4%E3%81%AE%E7%BF%92%E6%85%A3%E3%80%8F&i=stripbooks&tag=business-book-ranking02-22
c443d3030ba9,ライフピボット 縦横無尽に未来を描く 人生100年時代の転身術 できるビジネスシリーズ,黒田悠介,インプレス,6,1515598,https://www.amazon.co.jp/s?k=%E3%83%A9%E3%82%A4%E3%83%95%E3%83%94%E3%83%9C%E3%83%83%E3%83%88%20%E7%B8%A6%E6%A8%AA%E7%84%A1%E5%B0%BD%E3%81%AB%E6%9C%AA%E6%9D%A5%E3%82%92%E6%8F%8F%E3%81%8F%20%E4%BA%BA%E7%94%9F100%E5%B9%B4%E6%99%82%E4%BB%A3%E3%81%AE%E8%BB%A2%E8%BA%AB%E8%A1%93%20%E3%81%A7%E3%81%8D%E3%82%8B%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA&i=stripbooks&tag=business-book-ranking02-22
